1895 	180	C0100 	Bezirk Oberschwaben 	Link 			15.01.1988
1897 	2549	C0101 	Post-SV Ulm 	Link 	1133 		15.01.1988 		25
1898 	2546	C0104 	SF Vöhringen 	Link 	1224 		15.01.1988 		79
1899 	2545	C0105 	TSV Langenau 		1083 		15.01.1988 		41
1900 	2543	C0107 	SF Blaustein 	Link 	1216 		15.01.1988 		11
1901 	2541	C0109 	SC Obersulmetingen 	Link 	2171 		15.01.1988 		50
1902 	4287	C010A 	TSG Ehingen 1848 e.V. 	Link 	1046 	01.01.2011 	01.07.2011 		29
1903 	2540	C0110 	TSV Berghülen 	Link 	1018 		15.01.1988 		43
1904 	2537	C0113 	TSV Laichingen 	Link 	1077 		15.01.1988 		43
1905 	2534	C0116 	TG Biberach 	Link 	2032 		15.01.1988 		55
1906 	2532	C0118 	TSV 1880 Neu-Ulm 	Link 	70575 		15.01.1988 		21
1907 	2526	C0124 	SC Laupheim 1962 e.V. 	Link 	2174 		15.01.1988 		35
1908 	2525	C0125 	SF Riedlingen 	Link 	2175 		15.01.1988 		39
1909 	2523	C0127 	TSV Seissen e.V. 	Link 	1119 		15.01.1988 		21
1910 	2519	C0131 	SC Weiße Dame Ulm e.V. 	Link 	1024 		15.01.1988 		116
1911 	2513	C0137 	SV Jedesheim 1921 	Link 	70380 		15.01.1988 		77
1912 	2512	C0138 	TV Wiblingen 	Link 	1155 		15.01.1988 		24
1913 	2511	C0139 	SV Steinhausen 	Link 	2108 		15.01.1988 		18
1914 	2510	C0140 	TSV Reute e.V. 		2089 		15.07.1989 		19
1915 	2508	C0142 	TSV Westerstetten 	Link 	1165 		15.12.1991 		13
1916 	2507	C0143 	SV Thalfingen 	Link 	70756 		15.01.1997 		21
1918 	2548	C0102 	SK Markdorf 	Link 	4095 		15.01.1988 		41
1919 	2544	C0106 	SC Lindau 	Link 	4117 		15.01.1988 		49
1920 	4521	C010C 	TG Bad Waldsee 1848 		14028 	12.06.2016 	12.06.2016 		16
1921 	2539	C0111 	SC Tettnang 	Link 	4087 		15.01.1988 		42
